task_id,method,repetition,time_min,time_to_pipeline_min,exec_success,operator_errors,strict_errors,field_errors,hallucinated,missing_required,wrong_order,unexpected,n_create_pipeline_calls,n_render_pipeline_calls,n_execute_pipeline_calls_by_agent,n_valid_records,n_total_records,final_chain
1a_qa_basic,dataflow_agent,0,1.9381335814793905,1.4817837278048198,0,0,0,0,0,0,0,0,1,1,0,0,0,Text2MultiHopQAGenerator
1a_qa_basic,dataflow_agent,1,2.0391398350397747,1.5918217142422995,0,0,0,0,0,0,0,0,1,1,0,0,0,Text2MultiHopQAGenerator
1a_qa_basic,dataflow_agent,2,2.037991229693095,1.5592564384142558,0,0,0,0,0,0,0,0,1,1,0,0,0,Text2MultiHopQAGenerator
1a_qa_basic,df_agent_slim,0,2.191236313184102,1.7306216915448507,0,0,0,0,0,0,0,0,1,1,0,0,0,Text2MultiHopQAGenerator
1a_qa_basic,df_agent_slim,1,2.2706618428230287,1.8419171452522278,0,0,0,0,0,0,0,0,1,1,0,0,0,Text2MultiHopQAGenerator
1a_qa_basic,df_agent_slim,2,1.9881568630536397,1.5023341417312621,0,0,0,0,0,0,0,0,1,1,0,0,0,Text2MultiHopQAGenerator
1a_qa_basic,df_agent_v2,0,2.1610516707102456,1.6008393088976542,0,0,0,0,0,0,0,0,1,1,0,0,0,Text2MultiHopQAGenerator
1a_qa_basic,df_agent_v2,1,2.2246902068456014,1.666317868232727,0,0,0,0,0,0,0,0,1,1,0,0,0,Text2MultiHopQAGenerator
1a_qa_basic,df_agent_v2,2,,1.4568975170453389,0,0,0,0,0,0,0,0,1,1,0,0,0,Text2MultiHopQAGenerator
1a_qa_basic,mcp_only,0,,1.3106178561846415,0,0,0,0,0,0,0,0,1,1,0,0,0,Text2MultiHopQAGenerator
1a_qa_basic,mcp_only,1,2.502109964688619,2.1208492557207745,0,1,1,0,0,1,0,0,2,0,0,0,0,
1a_qa_basic,mcp_only,2,2.4209686040878298,1.7611526250839233,0,0,0,0,0,0,0,0,1,1,0,0,0,Text2MultiHopQAGenerator
1b_qa_with_filter,dataflow_agent,0,,1.8521321455637614,0,0,2,0,0,0,0,0,1,1,0,0,0,Text2MultiHopQAGenerator | PromptedEvaluator | GeneralFilter
1b_qa_with_filter,dataflow_agent,1,,,0,3,3,0,0,3,0,0,0,0,0,0,0,
1b_qa_with_filter,dataflow_agent,2,,1.7214718302090963,0,0,2,0,0,0,0,0,1,1,0,0,0,Text2MultiHopQAGenerator | PromptedEvaluator | PromptedFilter
1b_qa_with_filter,df_agent_slim,0,3.5849032084147137,2.535578111807505,0,3,3,0,0,3,0,0,1,1,0,0,0,
1b_qa_with_filter,df_agent_slim,1,,1.744482421875,0,2,2,0,0,2,0,0,1,1,0,0,1,Text2MultiHopQAGenerator | PromptedFilter
1b_qa_with_filter,df_agent_slim,2,2.688589052359263,1.8239176869392395,1,0,2,0,0,0,0,0,1,1,0,8,8,Text2MultiHopQAGenerator | PromptedEvaluator | GeneralFilter
1b_qa_with_filter,df_agent_v2,0,,2.060741190115611,0,0,2,0,0,0,0,0,1,1,0,0,0,Text2MultiHopQAGenerator | PromptedEvaluator | PromptedFilter
1b_qa_with_filter,df_agent_v2,1,,2.035977319876353,0,0,2,0,0,0,0,0,1,1,0,0,0,Text2MultiHopQAGenerator | PromptedEvaluator | GeneralFilter
1b_qa_with_filter,df_agent_v2,2,3.586432993412018,3.1361467083295187,0,3,3,0,0,3,0,0,1,1,0,0,0,
1b_qa_with_filter,mcp_only,0,,2.9651172280311586,0,0,2,0,0,0,0,0,1,1,0,0,0,Text2MultiHopQAGenerator | PromptedEvaluator | GeneralFilter
1b_qa_with_filter,mcp_only,1,4.011220403512319,2.5325005491574606,1,0,2,0,0,0,0,0,1,1,0,8,8,Text2MultiHopQAGenerator | PromptedEvaluator | PromptedFilter
